ICAO,Station Name, State, Latitude, Longitude, Altitude, Winds Aloft,   Surface TempC, Surface Humidity, WindDir, WindSp, WindTemp
KCRW , Charleston, WV, 081-36W, 38-22N, 299,  3034 3130+13 2926+08 2924+02 3131-13 3031-24 304939 295848 296258, , , , 9 , 9 , 295
KCSG , Columbus Metropolitan Airport, GA, , , ,  2918 2918+17 3021+12 3320+06 3522-12 3213-23 312237 312647 312658, , , , 7 , 7 , 312
KCVG , Covington / Cincinnati / Northern Kentucky, KY, 084-40W, 39-03N, 273,  2822 3021+14 3026+09 2932+03 3047-14 3049-23 295238 285548 286059, , , , 8 , 8 , 285
KCZI , , , , , ,               1811+09 2214+02 2425-14 2326-27 242743 233153 233862, , , , 3 , 3 , 233
KDAL , Dallas Love Field, TX, , , ,  1827 1922+13 1817+13 1612+07 1916-08 2114-22 221737 222348 252059, , , , 7 , 7 , 222
KDBQ , Dubuque Regional Airport, IA, 90-42W, 42-24N, 328,  3619 3123+12 3031+07 3041+01 2949-14 2955-24 296540 297450 297860, , , , 0 , 0 , 297
KDEN , Denver Intnl Arpt, CO, 104-40W, 39-52N, 1655,               1613+09 1822+03 2017-14 2225-25 213741 214751 225161, , , , 1 , 1 , 214
KDIK , Dickinson Theodore Roosevelt Regional Airport, ND, , , ,       2012+10 2507+04 2612-03 2830-16 2843-28 275443 275352 275160, , , , 3 , 3 , 275
KDLH , Duluth International Airport, MN, 092-13-34W, 46-50-34N, 435,  3614 3218+02 3122+03 3130-03 3032-16 2945-28 295843 297352 297259, , , , 3 , 3 , 297
KDLN , Dillon Airport, MT, , , ,               9900+08 2206+00 2016-16 1008-28 071843 091753 091061, , , , 3 , 3 , 091
KDRT , Del Rio International Airport, TX, 100-55W, 29-22N, 304,  1435 1726+15 9900+16 9900+09 2609-09 2312-21 253337 254146 254257, , , , 7 , 7 , 254
KDSM , Des Moines International Airport, IA, 93-40W, 41-32N, 292,  3614 3222+14 2924+08 2832+02 2933-14 2839-24 285440 286450 285660, , , , 0 , 0 , 286
KECK , , , , , ,  3216 2823+09 2829+02 2932-02 2960-16 2977-28 289442 289550 288257, , , , 2 , 2 , 289
KEKN , Elkins-randolph County-jennings Randolph Field, WV, 079-51W, 38-53N, 606,       2933+11 3028+06 3128+00 3027-12 2936-23 306239 297049 297360, , , , 9 , 9 , 297
KELP , El Paso International Airport, TX, 106-23W, 31-49N, 1206,       2826    2811+15 2210+07 1827-14 2137-23 214739 225448 225759, , , , 9 , 9 , 225
KELY , Ely/yelland Field, NV, 114-51W, 39-18N, 1907,               0305+05 1413-03 1536-20 1634-33 183949 172149 140950, , , , 9 , 9 , 172
KEMI , Meridian, MS, , , ,  2716 3118+11 3019+06 3026+00 2935-13 3043-25 295841 307850 308960, , , , 1 , 1 , 307
KEVV , Evansville Regional Airport, IN, 087-32W, 38-02N, 127,  2822 3121+14 3025+09 2938+04 2746-12 3039-23 304438 284847 285059, , , , 8 , 8 , 284
KEYW , Key West Airport, FL, 81-46W, 24-33N, 1,  0817 0916+17 0817+12 0720+05 0509-10 3608-21 341535 342144 322756, , , , 5 , 5 , 342
KFAT , Fresno Air Terminal, CA, 36.78, -119.72, 101,  3205 3413+08 0114+02 0316-04 0235-17 3642-30 029043 028550 365754, 72.0, 41, 41, 3 , 3 , 028
KGPI , Kalispell/glacier, MT, 114-16W, 48-18N, 906,       2809+13 2509+05 2512-02 2614-14 3011-27 322042 331953 322664, , , , 2 , 2 , 331
KFLO , Florence Regional Airport, SC, , , ,  2929 3119+15 3120+08 3130+04 3134-11 3139-23 324038 323747 313558, , , , 8 , 8 , 323
KFMN , Farmington Regional, NM, , , ,               2805+12 9900+04 1928-14 1836-27 205443 216952 216560, , , , 3 , 3 , 216
KFOT , , , , , ,  0117 0315+15 0412+09 0216+02 3629-12 3536-23 014240 014850 355661, , , , 0 , 0 , 014
KFSD , Sioux Falls, SD, 096-45W, 43-35N, 436,  0508 3018+12 2927+06 2832+00 2737-14 2844-25 275841 276451 277762, , , , 1 , 1 , 276
KFSM , Fort Smith Regional Airport, AR, 94-22W, 35-20N, 143,  2227 2018+21 1912+15 1916+07 2017-10 2416-22 231839 261848 262860, , , , 9 , 9 , 261
KFWA , Fort Wayne International Airport, IN, 85-12W, 41-00N, 248,  2920 2822+13 2832+07 2938+00 3049-14 2962-24 297240 297149 287959, , , , 0 , 0 , 297
KGAG , Gage Airport, OK, , , ,       2122+19 2208+13 1511+07 1921-11 2026-23 212539 222449 234259, , , , 9 , 9 , 222
KGCK , Garden City Regional Airport, KS, , , ,       2405+21 2109+13 1917+05 2033-13 2231-23 213739 213749 234560, , , , 9 , 9 , 213
KGEG , Spokane Intl Arpt, WA, 117-32W, 47-37N, 723,       2408+12 9900+05 9900-01 3112-13 3120-26 332041 342652 333564, , , , 1 , 1 , 342
KGFK , Grand Forks International Airport, ND, , , ,  3307 3215+03 3119+02 3022-04 2924-17 2934-29 285044 286453 276259, , , , 4 , 4 , 286
KGGW , Glasgow Intl Arpt, MT, 106-37W, 48-13N, 699,       1916+11 2611+04 3107-02 2915-15 2917-27 282044 282454 272861, , , , 4 , 4 , 282
KGJT , Grand Junction, CO, 108-32W, 39-08N, 1481,               1617+12 1820+04 1939-15 1943-28 205244 206052 215660, , , , 4 , 4 , 206
KGLD , Goodland, KS, 101-42W, 39-22N, 1114,       1618    1923+09 2025+02 2416-12 2219-23 223539 224050 234960, , , , 9 , 9 , 224
KGRB , Green Bay, WI, 088-08W, 44-29N, 212,  3521 3216+04 3129+04 3039-02 3051-16 3062-27 307442 308951 308358, , , , 2 , 2 , 308
KGRI , Grand Island, NE, 98-19W, 40-58N, 563,       1516+14 2216+08 2519+04 2326-13 2623-24 244240 255551 255561, , , , 0 , 0 , 255
KGSP , Greer, SC, 82-13W, 34-53N, 296,  3025 3213+16 3224+11 3137+05 3240-11 3139-23 303238 303248 303858, , , , 8 , 8 , 303
KGTF , Great Falls Intl Airport, MT, 111-23W, 47-28N, 1120,       9900    2706+07 2711-01 2807-14 3107-27 311044 341454 311062, , , , 4 , 4 , 341
KH51 , , , , , ,  1420 1612+15 1709+11 9900+08 9900-07 3309-19 302235 303545 295255, , , , 5 , 5 , 303
KH52 , , , , , ,  1116 1215+14 1215+12 1119+06 0908-09 9900-20 311235 301745 292756, , , , 5 , 5 , 301
KH61 , , , , , ,  1213 1116+17 0814+12 0722+05 0611-11 0208-20 341435 311645 291758, , , , 5 , 5 , 311
KHAT , , , 075-33W, 35-16N, 2,  2727 2922+12 3115+05 3022+02 3031-13 3131-23 313038 323647 324958, , , , 8 , 8 , 323
KHOU , Houston Hobby Airport, TX, , , ,  1721 1820+14 1714+12 1406+08 1607-07 1605-20 281336 291447 292057, , , , 6 , 6 , 291
KHSV , Huntsville International / Jones Field, AL, 086-47W, 34-39N, 192,  2620 3020+18 3025+13 3127+06 3133-12 3123-23 282838 293347 293059, , , , 8 , 8 , 293
KICT , Wichita Mid-continent Airport, KS, 97-26W, 37-39N, 406,  2031 2511+18 2108+14 2012+06 2025-12 2125-22 232639 252849 253860, , , , 9 , 9 , 252
KILM , Wilmington, NC, , , ,  2827 3021+14 3213+06 2919+02 3123-11 3235-23 323638 323147 323758, , , , 8 , 8 , 323
KIMB , , , , , ,               0706+06 0308+00 0116-14 0128-25 014041 014752 364463, , , , 1 , 1 , 014
KIND , Indianapolis International Airport, IN, 86-17W, 39-43N, 243,  2822 2923+13 2928+08 2935+02 2944-14 3050-23 295739 286148 287260, , , , 9 , 9 , 286
KINK , Winkler County Airport, TX, , , ,       1635+19 1814+16 2210+08 2320-12 2226-21 233738 234047 234359, , , , 8 , 8 , 234
KINL , Falls International Airport, MN, 093-24W, 48-34N, 361,  0113 3413+00 3318+01 3226-04 3034-17 3042-29 294945 285053 294957, , , , 5 , 5 , 285
KJAN , Jackson International Airport, MS, 090-04-39W, 32-19-11N, 105,  2315 2013+20 1911+14 1506+07 1210-11 3307-22 281638 271748 291659, , , , 8 , 8 , 271
KJAX , Jacksonville International Airport, FL, 81-42W, 30-30N, 9,  2914 3318+16 3417+12 3617+05 0118-13 3115-22 341538 352146 322957, , , , 8 , 8 , 352
KJFK , New York/john F. Kennedy Intl Airport, NY, 073-46W, 40-38N, 4,  2507 3015+08 2921+03 3020-03 2945-15 2958-28 307543 308351 309160, , , , 3 , 3 , 308
KJOT , Joliet Park District, IL, , , ,  3517 2831+14 2834+07 2937+00 3050-14 2958-24 297040 297250 297859, , , , 0 , 0 , 297
KLAS , Las Vegas/mccarran, NV, 115-16W, 36-07N, 663,       1207+12 1410+04 1412-04 1920-18 1917-31 202548 203651 212051, , , , 8 , 8 , 203
KLBB , Lubbock International Airport, TX, 101-49W, 33-40N, 1000,       1830+18 1707+14 2212+07 2516-11 2423-21 222639 213048 234059, , , , 9 , 9 , 213
KLCH , Lake Charles Regional Airport, LA, 093-23W, 30-12N, 5,  1619 1614+16 1522+13 1419+07 1410-08 1110-21 260638 271447 301259, , , , 8 , 8 , 271
KLIT , Little Rock, AR, , , ,  2329 2217+21 2408+15 2308+07 9900-11 2614-22 262439 272548 272459, , , , 9 , 9 , 272
KLKV , Lakeview (awos), OR, , , ,               0417+05 0411-01 0233-14 0241-26 025641 016552 015762, , , , 1 , 1 , 016
KLND , Lander/hunt Field, WY, 108-44W, 42-49N, 1703,               9900+08 1718+03 2125-16 2035-27 203143 202552 212462, , , , 3 , 3 , 202
KLOU , Louisville, KY, , , ,  2725 3121+13 3029+10 2937+04 3037-13 3039-23 294238 285047 285359, , , , 8 , 8 , 285
KLRD , Laredo International Airport, TX, 099-27-41W, 27-32-37N, 155,  1535 1823+15 1712+13 9900+09 2909-08 2608-19 262836 264245 275555, , , , 6 , 6 , 264
KLSE , La Crosse Municipal Airport, WI, 091-15W, 43-53N, 199,  3518 3219+08 3128+05 3033-01 2954-14 2964-26 297142 298251 299561, , , , 2 , 2 , 298
KLWS , Lewiston (amos), ID, 117-01W, 46-22N, 438,  2705 9900+11 2306+05 2205-01 3405-14 3612-26 362742 363052 363564, , , , 2 , 2 , 363
KMBW , , , , , ,               1819    1710+04 2328-13 2230-27 213643 214652 214561, , , , 3 , 3 , 214
KMCW , Mason City Municipal Airport, IA, , , ,  3518 3118+11 3028+07 3038+01 2944-14 2949-25 296240 297450 287760, , , , 0 , 0 , 297
KMEM , Memphis International Airport, TN, 089-59W, 35-02N, 102,  2523 2621+20 2719+14 2815+07 3016-12 2919-23 282838 283148 283359, , , , 8 , 8 , 283
KMGM , Montgomery, AL, 86-24W, 32-18N, 67,  2911 2713+19 2913+13 3214+06 0117-12 3407-23 311937 312247 312359, , , , 7 , 7 , 312
KMIA , Miami International Airport, FL, 080-19W, 25-47N, 4,  0910 0713+16 0415+11 0520+05 0409-10 0307-21 341436 342545 333856, , , , 6 , 6 , 342
KMKC , Charles B Wheeler Downtown Airport, MO, , , ,  1205 9900+14 2922+13 2826+06 2634-13 2731-24 283840 284449 274160, , , , 0 , 0 , 284
KMKG , Muskegon County Airport, MI, 086-14W, 43-10N, 191,  0121 2914+08 2930+05 2932-01 2961-15 2980-26 298841 299350 299159, , , , 1 , 1 , 299
KMLB , Melbourne International Airport, FL, 080-39W, 28-06N, 10,  0310 0311+16 0319+11 0422+05 0213-10 3608-22 351637 342546 323857, , , , 7 , 7 , 342
KMLS , Miles City, MT, 105-53W, 46-26N, 801,       2211+13 2505+06 2713+00 2721-15 2731-28 273444 263353 263361, , , , 4 , 4 , 263
